Data,All_A_SZ_Index_Increase,All_A_SZ_Volume,All_A_SZ_Main,All_A_SZ_Large,Total_Increase,Total_Decline,Total_Increase_limit,Total_Decline_limit,SH_Index_Increase,SZ_Index_Increase
2025/6/6,0.11,11518,-224.59,-208.26,2601,2604,65,5,0.04,-0.19
2025/6/9,1.26,12862,153.44,38.05,4121,1094,87,3,0.04,-0.19
2025/6/10,-0.73,14149,-550.97,-446.48,1263,4035,61,2,-0.44,-0.86
2025/6/11,0.59,12552,68.48,14.13,3415,1738,72,6,0.52,0.83
2025/6/12,0.22,12715,-112.62,-109.41,2327,2868,74,5,0.01,-0.11
2025/6/13,-1.69,14669,-607.46,-477.19,849,4477,63,15,-0.75,-1.10
2025/6/16,0.87,12147,93.91,3.01,3559,1641,73,6,0.35,0.41
2025/6/17,-0.10,12070,-284.27,-250.83,2250,2921,61,9,-0.04,-0.12
2025/6/18,-0.30,11909,-122.13,-178.09,1813,3479,49,13,0.04,0.24
2025/6/19,-1.68,12504,-572.72,-516.72,716,4646,39,20,-0.79,-1.21
2025/6/20,-0.66,10675,-231.71,-215.70,1542,3647,53,19,-0.07,-0.47
2025/6/23,1.58,11244,226.74,77.81,4446,844,84,1,0.65,0.43
2025/6/24,1.96,14142,375.75,172.22,4771,578,85,19,1.15,1.68
2025/6/25,0.96,16024,317.01,70.69,3919,1284,80,6,1.03,1.72
2025/6/26,-0.21,15829,-308.71,-305.42,1621,3609,72,3,-0.22,-0.48
2025/6/27,0.54,15409,-167.42,-192.51,3381,1772,60,5,-0.70,0.34
2025/6/30,1.35,14865,46.23,17.08,4056,1127,92,5,0.59,0.83
2025/7/1,0.39,14658,-357.88,-279.20,2629,2545,74,6,0.39,0.11
2025/7/2,-0.44,13767,-377.49,-359.04,1945,3284,63,9,-0.09,-0.61
2025/7/3,0.60,13095.49,28.36,-38.74,3271,1866,66,7,0.18,1.17
